"details","numbers","time"
"Total domains registered within 30 Days","2299","1466600406.08172"
"Total domains renewed within 24 Hours","124","1466600406.08172"
"Total domains renewed within 30 Days","2855","1466600406.08172"
"Total domains","58746","1466607606.00656"
"Total domains registered within 24 hours","92","1466607606.00656"
"Total domains registered within 30 Days","2298","1466607606.00656"
"Total domains renewed within 24 Hours","119","1466607606.00656"
"Total domains renewed within 30 Days","2845","1466607606.00656"
"Total domains","58751","1466614806.66824"
"Total domains registered within 24 hours","89","1466614806.66824"
"Total domains registered within 30 Days","2298","1466614806.66824"
"Total domains renewed within 24 Hours","119","1466614806.66824"
"Total domains renewed within 30 Days","2846","1466614806.66824"
"Total domains","58754","1466622005.9638"
"Total domains registered within 24 hours","83","1466622005.9638"
"Total domains registered within 30 Days","2298","1466622005.9638"
"Total domains renewed within 24 Hours","118","1466622005.9638"
"Total domains renewed within 30 Days","2843","1466622005.9638"
"Total domains","58756","1466629206.75308"
"Total domains registered within 24 hours","80","1466629206.75308"
"Total domains registered within 30 Days","2297","1466629206.75308"
"Total domains renewed within 24 Hours","121","1466629206.75308"
"Total domains renewed within 30 Days","2842","1466629206.75308"
"Total domains","58756","1466636406.87374"
"Total domains registered within 24 hours","79","1466636406.87374"
"Total domains registered within 30 Days","2297","1466636406.87374"
"Total domains renewed within 24 Hours","119","1466636406.87374"
"Total domains renewed within 30 Days","2839","1466636406.87374"
"Total domains","58757","1466643607.27452"
"Total domains registered within 24 hours","80","1466643607.27452"
"Total domains registered within 30 Days","2298","1466643607.27452"
"Total domains renewed within 24 Hours","118","1466643607.27452"
"Total domains renewed within 30 Days","2839","1466643607.27452"
"Total domains","58722","1466650806.63465"
"Total domains registered within 24 hours","80","1466650806.63465"
"Total domains registered within 30 Days","2299","1466650806.63465"
"Total domains renewed within 24 Hours","118","1466650806.63465"
"Total domains renewed within 30 Days","2839","1466650806.63465"
"Total domains","58723","1466658005.61897"
"Total domains registered within 24 hours","80","1466658005.61897"
"Total domains registered within 30 Days","2298","1466658005.61897"
"Total domains renewed within 24 Hours","117","1466658005.61897"
"Total domains renewed within 30 Days","2831","1466658005.61897"
"Total domains","58731","1466665205.90018"
"Total domains registered within 24 hours","73","1466665205.90018"
"Total domains registered within 30 Days","2302","1466665205.90018"
"Total domains renewed within 24 Hours","116","1466665205.90018"
"Total domains renewed within 30 Days","2839","1466665205.90018"
"Total domains","58747","1466672407.78127"
"Total domains registered within 24 hours","74","1466672407.78127"
"Total domains registered within 30 Days","2278","1466672407.78127"
"Total domains renewed within 24 Hours","110","1466672407.78127"
"Total domains renewed within 30 Days","2833","1466672407.78127"
"Total domains","58766","1466679607.54036"
"Total domains registered within 24 hours","82","1466679607.54036"
"Total domains registered within 30 Days","2282","1466679607.54036"
"Total domains renewed within 24 Hours","110","1466679607.54036"
"Total domains renewed within 30 Days","2826","1466679607.54036"
"Total domains","58788","1466686807.12463"
"Total domains registered within 24 hours","92","1466686807.12463"
"Total domains registered within 30 Days","2295","1466686807.12463"
"Total domains renewed within 24 Hours","88","1466686807.12463"
"Total domains renewed within 30 Days","2831","1466686807.12463"
"Total domains","58798","1466694006.59717"
"Total domains registered within 24 hours","88","1466694006.59717"
"Total domains registered within 30 Days","2285","1466694006.59717"
"Total domains renewed within 24 Hours","88","1466694006.59717"
"Total domains renewed within 30 Days","2825","1466694006.59717"
"Total domains","58808","1466701206.84165"
"Total domains registered within 24 hours","93","1466701206.84165"
"Total domains registered within 30 Days","2290","1466701206.84165"
"Total domains renewed within 24 Hours","89","1466701206.84165"
"Total domains renewed within 30 Days","2826","1466701206.84165"
"Total domains","58817","1466708405.98761"
"Total domains registered within 24 hours","99","1466708405.98761"
"Total domains registered within 30 Days","2293","1466708405.98761"
"Total domains renewed within 24 Hours","90","1466708405.98761"
"Total domains renewed within 30 Days","2829","1466708405.98761"
"Total domains","58818","1466715607.07746"
"Total domains registered within 24 hours","98","1466715607.07746"
"Total domains registered within 30 Days","2292","1466715607.07746"
"Total domains renewed within 24 Hours","90","1466715607.07746"
"Total domains renewed within 30 Days","2831","1466715607.07746"
"Total domains","58820","1466722806.12078"
"Total domains registered within 24 hours","100","1466722806.12078"
"Total domains registered within 30 Days","2294","1466722806.12078"
"Total domains renewed within 24 Hours","90","1466722806.12078"
"Total domains renewed within 30 Days","2828","1466722806.12078"
"Total domains","58820","1466730006.34361"
"Total domains registered within 24 hours","99","1466730006.34361"
"Total domains registered within 30 Days","2294","1466730006.34361"
"Total domains renewed within 24 Hours","90","1466730006.34361"
"Total domains renewed within 30 Days","2828","1466730006.34361"
"Total domains","58797","1466737205.8165"
"Total domains registered within 24 hours","98","1466737205.8165"
"Total domains registered within 30 Days","2294","1466737205.8165"
"Total domains renewed within 24 Hours","90","1466737205.8165"
"Total domains renewed within 30 Days","2828","1466737205.8165"
"Total domains","58801","1466744406.49508"
"Total domains registered within 24 hours","101","1466744406.49508"
"Total domains registered within 30 Days","2295","1466744406.49508"
"Total domains renewed within 24 Hours","91","1466744406.49508"
"Total domains renewed within 30 Days","2826","1466744406.49508"
"Total domains","58816","1466751606.1532"
"Total domains registered within 24 hours","108","1466751606.1532"
"Total domains registered within 30 Days","2299","1466751606.1532"
"Total domains renewed within 24 Hours","86","1466751606.1532"
"Total domains renewed within 30 Days","2824","1466751606.1532"
"Total domains","58833","1466758806.38538"
"Total domains registered within 24 hours","109","1466758806.38538"
"Total domains registered within 30 Days","2295","1466758806.38538"
"Total domains renewed within 24 Hours","89","1466758806.38538"
"Total domains renewed within 30 Days","2818","1466758806.38538"
"Total domains","58842","1466766006.36718"
"Total domains registered within 24 hours","101","1466766006.36718"
"Total domains registered within 30 Days","2294","1466766006.36718"
"Total domains renewed within 24 Hours","84","1466766006.36718"
"Total domains renewed within 30 Days","2807","1466766006.36718"
"Total domains","58865","1466773206.19949"
"Total domains registered within 24 hours","102","1466773206.19949"
"Total domains registered within 30 Days","2303","1466773206.19949"
"Total domains renewed within 24 Hours","75","1466773206.19949"
"Total domains renewed within 30 Days","2801","1466773206.19949"
"Total domains","58881","1466780405.98728"
"Total domains registered within 24 hours","108","1466780405.98728"
"Total domains registered within 30 Days","2299","1466780405.98728"
"Total domains renewed within 24 Hours","70","1466780405.98728"
"Total domains renewed within 30 Days","2789","1466780405.98728"
"Total domains","58891","1466787606.27239"
"Total domains registered within 24 hours","108","1466787606.27239"
"Total domains registered within 30 Days","2297","1466787606.27239"
"Total domains renewed within 24 Hours","71","1466787606.27239"
"Total domains renewed within 30 Days","2778","1466787606.27239"
"Total domains","58893","1466794806.58899"
"Total domains registered within 24 hours","101","1466794806.58899"
"Total domains registered within 30 Days","2295","1466794806.58899"
"Total domains renewed within 24 Hours","70","1466794806.58899"
"Total domains renewed within 30 Days","2773","1466794806.58899"
"Total domains","58896","1466802006.1005"
"Total domains registered within 24 hours","103","1466802006.1005"
"Total domains registered within 30 Days","2296","1466802006.1005"
"Total domains renewed within 24 Hours","67","1466802006.1005"
"Total domains renewed within 30 Days","2772","1466802006.1005"
"Total domains","58898","1466809206.41161"
"Total domains registered within 24 hours","103","1466809206.41161"
"Total domains registered within 30 Days","2297","1466809206.41161"
"Total domains renewed within 24 Hours","67","1466809206.41161"
"Total domains renewed within 30 Days","2769","1466809206.41161"
"Total domains","58901","1466816406.33413"
"Total domains registered within 24 hours","106","1466816406.33413"
"Total domains registered within 30 Days","2299","1466816406.33413"
"Total domains renewed within 24 Hours","67","1466816406.33413"
"Total domains renewed within 30 Days","2769","1466816406.33413"
"Total domains","58849","1466823606.27794"
"Total domains registered within 24 hours","106","1466823606.27794"
"Total domains registered within 30 Days","2299","1466823606.27794"
"Total domains renewed within 24 Hours","67","1466823606.27794"
"Total domains renewed within 30 Days","2769","1466823606.27794"
"Total domains","58850","1466830806.06994"
"Total domains registered within 24 hours","103","1466830806.06994"
"Total domains registered within 30 Days","2298","1466830806.06994"
"Total domains renewed within 24 Hours","66","1466830806.06994"
"Total domains renewed within 30 Days","2767","1466830806.06994"
"Total domains","58854","1466838005.9227"
"Total domains registered within 24 hours","92","1466838005.9227"
"Total domains registered within 30 Days","2295","1466838005.9227"
